member_id|set_en|set_ur|sort_order|gloss_ur|nuance_en|nuance_ur|topic_id|book_ref
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:XB15AA8E2|To bend, bow, incline, stoop|جھکنا مائل ہونا|6|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:X1F694036|To bend, bow, incline, stoop|جھکنا مائل ہونا|7|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:XC04C5B02|To bend, bow, incline, stoop|جھکنا مائل ہونا|8|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BE_ASTONISHED:XFAE908E7|To be astonished|حیران ہونا|1|حیران ہونا|To be astonished||HA14|Kailani — topic HA14
NSM:TO:TO_BE_COOL_TO_COOL:X2581F358|To be cool , to cool|ٹھندا ہونا - کرنا|2|ٹھندا ہونا - کرنا|To be cool , to cool||TT3|Kailani — topic TT3
NSM:TO:TO_BE_COOL_TO_COOL:X84CCA38D|To be cool , to cool|ٹھندا ہونا - کرنا|3|ٹھندا ہونا - کرنا|To be cool , to cool||TT3|Kailani — topic TT3
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X36A9D753|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|1|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:XCB22E4A9|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|2|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X56750292|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|3|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:XBE0FA08B|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|4|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X6E6A73AD|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|5|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X8C836D45|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|6|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X84CCA38D|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|7|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_HAPPY_TO_MAKE_HAPPY_TO_LOOK_HAPPY:X18F7BF32|To be happy, to make happy, to look happy|خوش ہونا – کرنا -لگنا|8|خوش ہونا – کرنا -لگنا|To be happy, to make happy, to look happy||KH17|Kailani — topic KH17
NSM:TO:TO_BE_LAZY_PROCASTINATE:XFFA8517F|To be lazy, procastinate|سستی کرنا|1|سستی کرنا|To be lazy, procastinate||S18|Kailani — topic S18
NSM:TO:TO_BE_LAZY_PROCASTINATE:X6245B4D0|To be lazy, procastinate|سستی کرنا|2|سستی کرنا|To be lazy, procastinate||S18|Kailani — topic S18
NSM:TO:TO_BE_LAZY_PROCASTINATE:XBE0FA08B|To be lazy, procastinate|سستی کرنا|3|سستی کرنا|To be lazy, procastinate||S18|Kailani — topic S18
NSM:TO:TO_BE_LAZY_PROCASTINATE:XF76F738E|To be lazy, procastinate|سستی کرنا|4|سستی کرنا|To be lazy, procastinate||S18|Kailani — topic S18
NSM:TO:TO_BE_LIVE:X56750292|To be live|زندہ ہونا - رہنا|1|زندہ ہونا - رہنا|To be live||Z9|Kailani — topic Z9
NSM:TO:TO_BE_LIVE:XBE0FA08B|To be live|زندہ ہونا - رہنا|2|زندہ ہونا - رہنا|To be live||Z9|Kailani — topic Z9
NSM:TO:TO_BE_LIVE:XF5BD3872|To be live|زندہ ہونا - رہنا|3|زندہ ہونا - رہنا|To be live||Z9|Kailani — topic Z9
NSM:TO:TO_BE_LIVE:XA998CEF2|To be live|زندہ ہونا - رہنا|4|زندہ ہونا - رہنا|To be live||Z9|Kailani — topic Z9
NSM:TO:TO_BE_LOST:XB9DCBEC6|To be lost|گم ہونا|4|گم ہونا|To be lost||GG12|Kailani — topic GG12
NSM:TO:TO_BE_NEGLECTFUL:XEB9F521E|To be neglectful|غافل ہونا – کرنا|5|غافل ہونا – کرنا|To be neglectful||GH2|Kailani — topic GH2
NSM:TO:TO_BE_NEGLECTFUL:X84CCA38D|To be neglectful|غافل ہونا – کرنا|6|غافل ہونا – کرنا|To be neglectful||GH2|Kailani — topic GH2
NSM:TO:TO_BE_OLD_ANCIENT:X634584D4|To be old/ancient|پرانا ہونا|4|پرانا ہونا|To be old/ancient||P12|Kailani — topic P12
NSM:TO:TO_BE_PATIENT:X2322BC67|To be patient|صبر کرنا|1|صبر کرنا|To be patient||SA4|Kailani — topic SA4
